"Geneid","MGIsymbol","group1_1","group1_2","group1_3","group2_1","group2_2","group2_3","group3_1","group3_2","group3_3"
"ENSMUSG00000028100","Nudt17",5934,5940,6747,4874,4798,4796,5385,5133,4927
"ENSMUSG00000026177","Slc11a1",444,404,519,80,115,90,110,83,98
"ENSMUSG00000040046","Tph1",2003,5036,4405,2393,1663,3429,1402,1348,1820
"ENSMUSG00000008028","1700008O03Rik",72,48,58,26,12,19,10,6,13
"ENSMUSG00000035126","Wdr78",1234,1416,1441,1177,1259,1137,914,1001,1074
"ENSMUSG00000036151","Tm6sf2",25650,21816,25463,28817,26772,28241,22769,22084,19068
"ENSMUSG00000071724","Smpd5",12814,13958,15515,11359,13073,14312,24433,25811,23689
"ENSMUSG00000030432","Rpl28",1518,1356,1492,1565,1720,1587,1284,1310,1476
"ENSMUSG00000039725","2810408M09Rik",1141,975,1179,1049,1015,1128,866,875,678
"ENSMUSG00000022204","Ngdn",1049,946,1327,914,948,902,812,684,834
"ENSMUSG00000045912","C2cd4c",20,19,17,17,12,13,5,2,12
"ENSMUSG00000082051","Gm16072",58,58,61,106,92,89,94,85,82
"ENSMUSG00000027004","Frzb",929,773,921,1016,964,950,898,903,866
"ENSMUSG00000031565","Fgfr1",2077,1913,2159,1790,1930,1990,1913,1876,2072
"ENSMUSG00000063171","Rps4l",2001,1709,1940,1631,1802,1722,1617,1491,1514
"ENSMUSG00000050592","Fam78a",77,56,49,127,125,117,91,156,184
"ENSMUSG00000024072","Yipf4",808,898,964,809,838,818,667,620,605
"ENSMUSG00000029833","Trim24",4976,5552,6178,3989,4546,3996,3278,3035,3105
"ENSMUSG00000030008","Pradc1",91,57,65,147,148,147,170,151,126
"ENSMUSG00000053063","Clec12a",15,8,6,15,9,9,21,8,11
"ENSMUSG00000039055","Eme1",1110,1064,1190,1120,1151,1048,1120,1102,1040
"ENSMUSG00000055720","Ubl7",2155,1882,2061,1977,1931,1962,1647,1615,1386
"ENSMUSG00000039176","Polg",5665,6318,7680,5458,5544,5942,5223,5324,5427
"ENSMUSG00000061079","Zfp143",2667,2823,2934,2365,2690,2555,2327,2194,2191
"ENSMUSG00000032314","Etfa",28,29,28,85,44,120,60,73,59
"ENSMUSG00000022235","Cmbl",19,25,23,16,15,20,23,31,43
"ENSMUSG00000064128","Cenpj",36,36,21,7,5,4,9,11,10
"ENSMUSG00000081887","Gm12097",47,31,24,76,45,94,53,43,36
"ENSMUSG00000039831","Arhgap29",51,41,52,6,12,8,11,10,5
"ENSMUSG00000026890","Lhx6",4,1,0,4,1,1,1,0,0
"ENSMUSG00000036411","9530077C05Rik",481,312,266,553,544,615,377,452,393
"ENSMUSG00000086465","Gm16049",2138,2239,2346,2163,2263,1939,2309,2352,2624
"ENSMUSG00000029490","Mfsd7a",8356,9486,10060,7913,9101,8070,13691,11983,13533
"ENSMUSG00000089281","Scarna6",1681,1378,1492,2568,2596,2510,1671,1660,1809
"ENSMUSG00000053603","4930442H23Rik",1344,1035,1337,1438,1416,1499,1079,980,930
"ENSMUSG00000083014","Gm11764",852,982,1030,1218,1194,1225,1082,1052,1155
"ENSMUSG00000022546","Gpt",374,506,646,421,394,518,636,461,486
"ENSMUSG00000046295","Ankle1",201,104,122,173,225,215,124,131,80
"ENSMUSG00000092119",NA,9,9,4,10,6,9,3,7,5
"ENSMUSG00000020705","Ddx42",74,37,63,19,29,34,19,18,15
"ENSMUSG00000028882","Ppp1r8",18,15,23,36,17,28,20,7,22
"ENSMUSG00000079100",NA,75,40,71,54,62,67,90,106,91
"ENSMUSG00000065282","Gm24455",13790,13595,14353,7288,9839,8055,6764,7222,6812
"ENSMUSG00000073771","Btbd19",41,57,61,29,40,33,41,38,51
"ENSMUSG00000043621","Ubxn10",2657,1104,1395,3861,3428,3812,986,1063,998
"ENSMUSG00000036585","Fgf1",281,158,238,263,208,226,210,144,213
"ENSMUSG00000065855",NA,1802,1660,1880,1404,1575,1437,1098,1060,1059
"ENSMUSG00000082072","Gm15785",718,589,708,651,712,712,595,511,566
"ENSMUSG00000024168","Tmem204",390,261,235,465,418,418,334,385,318
"ENSMUSG00000028049","Scamp3",10533,7431,8550,11599,11485,12192,9710,9763,8447
"ENSMUSG00000028871","Rspo1",759,730,786,663,693,737,630,582,523
"ENSMUSG00000023707","Ogfod2",128,100,148,103,116,128,63,75,67
"ENSMUSG00000025208","Mrpl43",15,3,2,7,4,3,0,4,6
"ENSMUSG00000026791","Slc2a8",1998,1788,1975,2094,2076,2013,2201,2288,2168
"ENSMUSG00000042501","Cpa6",1273,1335,1557,1307,1234,1323,1364,1376,1320
"ENSMUSG00000025986","Slc39a10",1028,1092,1182,688,758,786,787,725,747
"ENSMUSG00000020464","Pnpt1",57,40,36,16,15,13,28,24,52
"ENSMUSG00000024989","Cep55",35,33,41,6,8,13,55,17,21
"ENSMUSG00000042857","Gm9776",106,108,92,143,120,101,141,138,174
"ENSMUSG00000024299","Adamts10",1847,1505,1711,1623,1571,1726,1375,1323,1087
"ENSMUSG00000034751","Mast4",173,108,128,194,203,236,125,196,157
"ENSMUSG00000047965","Rpl9-ps7",6,7,4,1,3,2,8,8,20
"ENSMUSG00000089940","Gm4117",664,416,461,545,518,576,732,790,811
"ENSMUSG00000051238","Swsap1",6710,5790,6804,5280,5513,5343,4981,4636,4587
"ENSMUSG00000033578","Tmem35",671,599,685,778,740,743,629,640,586
"ENSMUSG00000029810","Tmem176b",2842,3427,4153,3478,3829,3502,3777,3842,3847
"ENSMUSG00000034254","Agpat1",4504,4498,5015,4489,4440,4328,4566,4376,4577
"ENSMUSG00000033589","Reep4",759,439,539,448,443,641,468,491,473
"ENSMUSG00000025579","Gaa",13070,15006,18369,13775,13968,14285,12396,12097,10942
"ENSMUSG00000053297","AI854703",7725,7536,9166,11375,11259,11929,10482,10603,9990
"ENSMUSG00000031984","2810004N23Rik",2410,2292,2638,2317,2453,2473,2457,2425,2534
"ENSMUSG00000028772","Zcchc17",588,541,665,711,743,702,564,540,607
"ENSMUSG00000041153","Osgin2",3448,3557,3520,4698,4632,4689,4475,4726,4452
"ENSMUSG00000090384",NA,192,192,277,108,118,138,176,152,183
"ENSMUSG00000049538","Adamts16",7477,8184,8690,4090,5305,4673,4429,4711,5107
"ENSMUSG00000045659","Plekha7",1015,957,992,666,734,780,668,688,603
"ENSMUSG00000078235","Fam43b",11,11,11,8,6,9,3,9,10
"ENSMUSG00000064352","mt-Ts1",4079,3332,3954,3319,3164,3511,2963,2959,2572
"ENSMUSG00000074247","Dda1",64,36,48,41,41,47,53,45,59
"ENSMUSG00000018012","Rac3",4313,2924,3555,3362,3266,3471,3093,2924,2798
"ENSMUSG00000034457","Eda2r",759,939,1008,1177,1087,929,488,501,435
"ENSMUSG00000043017","Ptgir",990,886,925,918,968,1008,833,795,636
"ENSMUSG00000085748","Gm12280",1061,788,876,1346,1362,1504,1243,1108,1079
"ENSMUSG00000091498","Mpc1-ps",1729,2007,2079,1612,1747,1483,1791,1649,1713
"ENSMUSG00000004843","Chmp2b",2225,2421,2523,1999,2208,1962,2526,2626,2544
"ENSMUSG00000041540","Sox5",0,4,3,2,4,1,4,1,4
"ENSMUSG00000058486","Wdr91",12,16,12,27,26,21,11,5,11
"ENSMUSG00000025785","Exosc7",116,150,151,109,89,97,109,103,104
"ENSMUSG00000027796","Smad9",8905,10230,10171,9809,9741,8904,8266,8612,8002
"ENSMUSG00000058488","Kl",181,51,68,298,260,309,210,214,209
"ENSMUSG00000085016","Gm11335",21,6,7,35,15,59,47,40,35
"ENSMUSG00000024222","Fkbp5",186,154,163,197,141,319,179,111,101
"ENSMUSG00000029798","Herc6",15,19,18,10,14,12,27,14,16
"ENSMUSG00000033751","Gadd45gip1",19,13,21,72,63,24,33,47,38
"ENSMUSG00000084975",NA,89,76,122,72,102,95,114,73,112
"ENSMUSG00000031157","Pqbp1",2810,2827,2975,2777,2747,2496,3208,3218,3040
"ENSMUSG00000038028","9630033F20Rik",3539,3513,3834,4329,4204,4323,3708,3601,3309
"ENSMUSG00000020520","Galnt10",1,0,1,5,2,3,1,5,1
"ENSMUSG00000003559","As3mt",470,604,724,672,626,778,811,855,828
"ENSMUSG00000063888","Rpl7l1",1569,1448,1629,1463,1456,1544,1423,1440,1394
